04/09/2024,BUDGENS THAMES DITTO ))),-0.69
04/09/2024,ELEANOR GREGORY RICHARD SO,-282.00
03/09/2024,QWIKPARK LTD WATERLOOVILLE VIS,-3.80
03/09/2024,Decathlon Wandsworth ))),-14.99
02/09/2024,McDonalds 8260292 Surbiton VIS,-6.21
02/09/2024,AMZNMktplace*MU7D7 amazon.co.uk VIS,-199.84
02/09/2024,trainline +443332022222 VIS,-43.69
02/09/2024,VRISTHI NEWS THAMES DITTON ))),-4.13
02/09/2024,YE OLDE SWAN THAMES DITTON ))),-11.65
02/09/2024,VRISTHI NEWS THAMES DITTON ))),-9.99
02/09/2024,SAINSBURYS S/MKTS SURY BASIN ))),-52.64
02/09/2024,Audible UK adbl.co/pymt VIS,-2.99
02/09/2024,Evans Cycles Shirebrook VIS,-69.99
02/09/2024,WWW.BALFESBIKES.CO CRAWLEY RH10 VIS,-92.88
02/09/2024,HTTPS://WWW.CARTAX OLDHAM VIS,160.00
02/09/2024,RICHARD JOHN DOWLI 8PCNTSAVER SO,-200.00
30/08/2024,Amazon.co.uk*P81XK AMAZON.CO.UK VIS,-21.95
30/08/2024,SAINSBURYS S/MKTS SURBITON ))),-10.00
30/08/2024,POST OFFICE COUNTE SURBITON ))),-60.00
30/08/2024,HTTPS://WWW.CARTAX OLDHAM VIS,-260.00
29/08/2024,RICHARD DOWLING Transfer CR,"1,000.00"
29/08/2024,J Dowling IHT Surplus 23/24 CR,"5,725.24"
28/08/2024,SHELL NEWPORT ROAD WHITCHURCH ))),-55.80
27/08/2024,SPREAD EAGLE PENIS CREWE ))),-3.20
23/08/2024,LIDL GB RAWTENSTAL RAWTENSTALL ))),-52.25
23/08/2024,OCTOPUS ENERGY DD,-70.00
22/08/2024,McDonalds 8261406 Sandbach VIS,-12.99
22/08/2024,VODAFONE LTD DD,-47.44
20/08/2024,NATIONAL TRUST WORCESTER ))),-2.60
20/08/2024,LIDL GB  MALVERN MALVERN VIS,-32.64
19/08/2024,SHELL LONG DITTON THAMES DITTON ))),-46.66
19/08/2024,SAINSBURYS S/MKTS OXFORD BANBUR ))),-8.20
19/08/2024,The Perch Inn Oxford ))),-22.50
16/08/2024,INT'L 0037429965 APPLE.COM/BILL 08001076285 VIS,-6.99
16/08/2024,Richard Dowling Saver 85aa4246 QZe OBP,"-2,000.00"
16/08/2024,RICHARD DOWLING Transfer CR,"2,000.00"
15/08/2024,Richard Dowling Saver 85aa4246 V35 OBP,"-3,999.00"
15/08/2024,Instant Saver Atom Instant Saver CR,"3,999.00"
15/08/2024,SAINSBURYS S/MKTS SURBITON ))),-19.24
15/08/2024,INTERACTIVE INVEST DD,-540.00
14/08/2024,WAITROSE 232 SURBITON ))),-78.04
14/08/2024,INTERACTIVE INVEST FIRST PAYMENT DD,-11.99
12/08/2024,THE NAGS HEAD ABINGDON ))),-5.85
12/08/2024,TESCO STORES 6519 ABINGDON ))),-20.15
12/08/2024,THE NAGS HEAD ABINGDON VIS,-5.60
12/08/2024,THE NAGS HEAD ABINGDON VIS,-45.60
11/08/2024,BROWN T C MOZART REQ JULY 24 CR,236.71
09/08/2024,Mr R J Dowling Savings BP,"-4,000.00"
09/08/2024,IISL CLIENT GBP SE II CR,"3,001.40"
08/08/2024,JOSE PIZARRO THE S LONDON ))),-7.00
08/08/2024,TFL TRAVEL CH TFL.GOV.UK/CP ))),-6.70
08/08/2024,INTUIT *QBooks Onl 08081684238 VIS,-1.20
08/08/2024,WWW.GOV.UK/PAY-DAR LEEDS VIS,-2.50
08/08/2024,Wild Arts WILD ARTS CR,470.25
07/08/2024,McDonalds 8261413 Royston VIS,-4.59
07/08/2024,CLACTON ON SEA OB CLACTON-ON-SE ))),-22.95
07/08/2024,Connaught Food and Frinton-on-Se ))),-7.33
07/08/2024,TESCO STORES ESSEX ))),-10.29
07/08/2024,The Lock and Barre Frinton On Se ))),-26.00
07/08/2024,J DOWLING CR,551.00
05/08/2024,McDonalds 8261206 SURREY VIS,-13.02
05/08/2024,LIDL GB HERSHAM HERSHAM VIS,-57.20
05/08/2024,WAITROSE 232 SURBITON ))),-31.20
05/08/2024,RICHARD DOWLING Transfer CR,900.00
05/08/2024,ELEANOR GREGORY RICHARD SO,-282.00
02/08/2024,SHELL SEAL RD 111 SEVENOAKS ))),-1.75
02/08/2024,The Pheasant Pluck Sevenoaks ))),-41.10
02/08/2024,VICTORIAN PLUMBING LANCASHIRE VIS,-164.85
02/08/2024,Gregory Eleanor BATHROOM CR,160.00
01/08/2024,HALFORDS 0543 NEW MALDEN ))),-60.00
01/08/2024,TESCO STORES 2934 NEW MALDEN ))),-58.04
01/08/2024,RICHARD JOHN DOWLI 8PCNTSAVER SO,-200.00
30/07/2024,LIDL GB HERSHAM HERSHAM ))),-71.14
30/07/2024,Packhorse  Mapledu Reading ))),-10.50
30/07/2024,HMRC GOV.UK SA GLASGOW VIS,"-1,000.00"
29/07/2024,McDonalds 8260550 Farnborough VIS,-6.63
29/07/2024,WELCOME BREAK KFC BISHOPS STORT ))),-9.99
29/07/2024,AJ BELL MANCHESTER VIS,"-4,000.00"
29/07/2024,TESCO PAY AT PUMP SAFFRON WALDE VIS,-40.12
29/07/2024,TESCO STORES 4829 HOOK ))),-7.85
29/07/2024,BURGER KING AMESBU SALISBURY ))),-2.99
29/07/2024,STARBUCKS BARTON S WINCHESTER ))),-7.60
26/07/2024,LIDL GB  CREWKERNE CREWKERNE ))),-20.01
25/07/2024,McDonalds 8260292 Surbiton VIS,-1.69
24/07/2024,Eleanor Gregory booty call BP,-100.00
24/07/2024,CASH IN P.O. JUL24 2 3 VICTORIA@18:04 465944XXXXXX5485 CR,200.00
24/07/2024,CASH POSTOFF JUL24 2 3 VICTORIA@17:37 DR,-100.00
24/07/2024,SAINSBURYS S/MKTS SURBITON ))),-2.50
24/07/2024,WAITROSE 232 SURBITON ))),-8.25
24/07/2024,GROVE SURBITON ))),-4.70
24/07/2024,VODAFONE LTD DD,-47.44
23/07/2024,VRISTHI NEWS THAMES DITTON ))),-6.22
23/07/2024,TFL TRAVEL CH TFL.GOV.UK/CP ))),-7.40
23/07/2024,COSTA COFFEE 43011 LONDON ))),-2.15
23/07/2024,BOOTS 0868 CLAPHAM JUNCT ))),-4.50
23/07/2024,CASH LLOYTSB JUL23 LOYD 1 CLARE@13:21 ATM,-10.00
23/07/2024,OCTOPUS ENERGY DD,-100.00
22/07/2024,Richard Dowling NationW Flex BP,"-10,000.00"
22/07/2024,McDonalds 8260292 Surbiton VIS,-7.83
22/07/2024,The Limping Fox Thames Ditton ))),-23.45
22/07/2024,SAINSBURYS S/MKTS SURBITON ))),-28.30
22/07/2024,YE OLDE SWAN THAMES DITTON ))),-8.55
22/07/2024,II INVESTMENT ACCO WWW.II.CO.UK VIS,-100.00
21/07/2024,Richard Dowling ACCOUNT MATURITY CR,"10,606.66"
19/07/2024,GROVE SURBITON ))),-24.45
19/07/2024,ROH COVENT GARDEN CR,252.00
18/07/2024,WAITROSE 232 SURBITON VIS,-34.97
17/07/2024,INT'L 0013175042 APPLE.COM/BILL CORK VIS,-6.99
16/07/2024,DICKY BIRDS PRE SC Isla Dowling BP,-250.00
15/07/2024,McDonalds 8260292 Surbiton VIS,-1.39
